,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
46,6600767811,Afternoon Walk,2022-01-29T16:56:39Z,Walk,4020.5,2675,3522,97.0,"[55.69924052, -2.8634754]",7060740162-1643475381-walk.gpx
47,6595479340,Evening Stroll,2022-01-28T16:32:17Z,Walk,1763.8,1314,2217,38.6,"[55.699271745979786, -2.8634102549403906]",bd8c2fb1-4283-4258-aa72-70fee14089be-activity.fit
48,6593307545,Shin Test,2022-01-28T08:46:32Z,Run,2079.6,697,717,19.9,"[55.69925573654473, -2.863008426502347]",338080ee-f613-4b24-a6e5-fb01fce78942-activity.fit
49,6588982681,Morning Walk in Stow,2022-01-27T10:36:49Z,Walk,5448.1,3748,3995,97.4,"[55.699302423745394, -2.8633891325443983]",f8a8be98-569d-42ab-8795-69602ddba5b8-activity.fit
50,6585382043,New Shoes Tested,2022-01-26T16:41:11Z,Run,2259.8,748,767,12.0,"[55.69928943179548, -2.8631785791367292]",52e43ea3-8407-44ca-b18a-903fb209e7d3-activity.fit
51,6583351023,Wee Stop By Borders Cleaning Services...,2022-01-26T08:10:08Z,Run,4083.6,1518,1544,34.9,"[55.699282893911004, -2.8630930837243795]",95ebc1cc-8de0-46a1-a73b-35c964c22346-activity.fit
52,6574366201,Lil Afternoon One,2022-01-24T14:40:47Z,Run,2732.0,966,991,14.6,"[55.699287755414844, -2.863246640190482]",9e02ff66-ec7e-4900-8171-b8dc00274fdb-activity.fit
53,6573357165,Practice,2022-01-24T10:29:39Z,Run,3102.5,1092,1145,27.6,"[55.699271159246564, -2.8632288705557585]",3d659308-59ed-409a-b2ac-3e082f256896-activity.fit
54,6567692759,Sunday Morning Practice,2022-01-23T10:29:36Z,Run,2947.7,1015,1043,25.9,"[55.6992207840085, -2.863439340144396]",9f59b0e1-2e75-4e22-b646-bfd0726c6372-activity.fit
55,6564125444,Lil Afternoon Practice,2022-01-22T15:38:05Z,Run,2816.2,967,988,23.8,"[55.69920795969665, -2.8634882904589176]",afe2f0e8-3c0c-4306-9e36-3a755ade8f19-activity.fit
56,6562517968,Avoiding Farmer Giles' Shot,2022-01-22T11:10:37Z,Run,4605.5,1625,1723,39.7,"[55.699243918061256, -2.8635593689978123]",77afb07e-bd97-4b14-bff0-e7c19eae4034-activity.fit
57,6480281724,First snow run!,2022-01-06T09:41:39Z,Run,3600.2,1276,1290,29.3,"[55.69934508763254, -2.8633380867540836]",bb0e2ceb-14af-414c-806c-341d3393c151-activity.fit
58,6475268638,Before Work Mini 1,2022-01-05T09:15:12Z,Run,3689.6,1238,1250,27.8,"[55.69924651645124, -2.8634063992649317]",4b3ae2d5-4536-4a42-92f5-bc44544fb419-activity.fit
59,6470707963,Sell Moor Hill - Walk,2022-01-04T09:30:18Z,Walk,7745.5,6720,8624,293.6,"[55.69927015341818, -2.8633318841457367]",ca770157-c4a9-4f98-9c39-125eb2787242-activity.fit
60,6464921988,Bit snowy...,2022-01-03T08:53:56Z,Run,5350.4,2059,2157,97.9,"[55.69921315647662, -2.8634738735854626]",020e352e-31e9-4edc-9561-f50491ef4ed2-activity.fit
61,6464935136,New year's day dreadful...,2022-01-01T12:35:54Z,Run,3100.0,1100,1100,0,[],
62,6500774008,Run,2021-12-30T11:56:03Z,Run,4486.0,2118,2118,0,[],
63,6500773876,Walk,2021-12-27T15:04:43Z,Walk,6068.0,6106,6106,0,[],
64,6500773808,Walk,2021-12-24T11:58:07Z,Walk,4184.0,3483,3483,0,[],
65,6500773707,Run,2021-12-22T14:38:31Z,Run,2778.0,1177,1177,0,[],
66,6413852021,Walk,2021-12-18T13:40:18Z,Walk,6100.0,5523,5523,0.0,[],
67,6413851829,Run,2021-12-16T13:16:06Z,Run,5300.0,2047,2047,0.0,[],
68,6392158503,4th Run,2021-12-16T04:56:31Z,Run,5300.0,1998,1998,0,[],
69,6386752953,Third Run,2021-12-15T10:14:27Z,Run,5300.0,1989,1989,0.0,[],
70,6386752915,Borders Walk,2021-12-14T15:25:38Z,Walk,7246.0,6258,6258,0.0,[],
71,6378418069,Second Run,2021-12-13T12:35:04Z,Run,5300.0,2106,2106,0.0,[],
72,6374928404,First Run,2021-12-12T13:56:12Z,Run,5100.0,2133,2133,0.0,[],
